cid,filename,width,height,xmin,ymin,xmax,ymax,num_tokens
122240045,500_F_122240045_e7QHZ8T7WLpsRWP3Ibx6quxaUKXQzs4T.jpg,500,392,29,29,90,50,1
209829899,500_F_209829899_lq6d3xclAVkA7XOu3GQKGvxgjqDBdjGF.jpg,500,375,14,14,90,34,2
13829594,500_F_13829594_PyEjWU070XPo7RCony9oi14UEi5LEr1T.jpg,500,334,351,14,482,49,10
86125167,500_F_86125167_zBSLCTXKbnPenEmP2C7vzyZtwPGkZaYO.jpg,500,334,367,260,481,303,5
38550534,500_F_38550534_8VArIDHCnuh8E8je08XTIRahTWeOOuYN.jpg,335,500,20,9,312,43,36
123720297,500_F_123720297_dxh673J3iAZVecM0HPbVEMKBfY4BXAN0.jpg,334,500,14,16,141,63,10
2754791,500_F_2754791_WgYr12CMnx7HQEfCMeJGYrfKcQD1K7.jpg,334,500,15,11,221,37,5
57345528,500_F_57345528_t9edGRRK9Uc0pezgyT34eSTG7JHIRS3B.jpg,500,383,9,7,189,27,5
184598300,500_F_184598300_T3DTjPD4RYTtQukmyz3QZzkSyjEyYBas.jpg,350,500,235,31,315,57,1
46077528,500_F_46077528_BetvzTOLuSViERZ7l0fdVLnv9F2SjoMl.jpg,500,317,25,25,208,46,5
35076306,500_F_35076306_ei6yRQkvCxufbM8q4k88miV9GTIJvVbP.jpg,334,500,27,22,101,48,1
122268018,500_F_122268018_6kewyOcI4sbAR1cSEDRh09c8SrcbZSJW.jpg,500,334,393,30,465,52,1
195301946,500_F_195301946_YOzfrcady6NHwsZouVVZHBrTTNN1Qofp.jpg,500,325,353,7,489,103,36
11479316,500_F_11479316_NbnvorxXYA0avgmXDqBAFcEuhwEPs936.jpg,500,333,401,28,463,51,1
216306717,500_F_216306717_Nkoxr9WQ49yENykmtVQIdPj5NH3yYaLl.jpg,334,500,156,21,311,51,5
170774715,500_F_170774715_TIJRlJ3iWaOJqlDzQxoXKTLFnlncBnmV.jpg,500,334,340,32,465,58,3
167598017,500_F_167598017_UwW3yNik56zAD8DMFgdTI2QE4BLndhRy.jpg,334,500,26,30,156,74,5
13261328,500_F_13261328_WLslxXMcel1Q9I6fPqVn1nrHIFtQMqji.jpg,346,500,41,47,118,75,1
165910366,500_F_165910366_VMWFXH9h36LlgDyKHMa2VLh1DxNk2omN.jpg,500,334,332,40,446,76,5
197734470,500_F_197734470_quc23LySKflknpGtZHQonztWryd0JJL0.jpg,500,334,20,289,111,313,2
174085520,500_F_174085520_CdkRAIqY9AHXvq0a0rLJjw97TFWYzgH2.jpg,500,332,231,31,468,78,10
93032979,500_F_93032979_Qmhg04clXvUTqyPFkLUqV3KXkfK6W9tm.jpg,500,236,350,15,481,54,5
500_F_11767798_VaqGKqqrKcc6cTgJwxVmdPiF5y0ghSs3,500_F_11767798_VaqGKqqrKcc6cTgJwxVmdPiF5y0ghSs3.jpg,500,334,23,22,95,49,1
60861236,500_F_60861236_mfDRXJ3PmFlPqzHP3VWlOPxxiKyDUIS6.jpg,500,334,321,35,462,60,3
193872497,500_F_193872497_x9IqLFjgq40Qo99hWCrmhF6YGNqfAwAx.jpg,500,334,27,28,243,67,10
177685293,500_F_177685293_KtIt0K3H6uvmlxpqldqeeKsqBwwjTvOd.jpg,500,500,289,35,462,71,3
123297617,500_F_123297617_xmNhfebuvt8S02wxIDlQsfQd6wxIAAqy.jpg,375,500,247,436,356,468,2
36994161,500_F_36994161_IgfH3eNEUHRtP60TSAUgvuiPShbKSYba.jpg,334,500,155,30,300,61,3
48613756,500_F_48613756_1fhUHaWUCYiGNcUVrgmqFq1258NNYPqP.jpg,500,334,20,261,197,312,10
133681164,500_F_133681164_QHNC6anSq2q7Zl72QQruOnUsXfxo7w8O.jpg,500,334,38,33,160,59,3
45221224,500_F_45221224_3pjkKmnvEGjPvP8oDGn6uzBRpGvHIjwC.jpg,500,375,377,49,446,71,1
83144417,500_F_83144417_xOt9GA3hZ4UJFc4L17URiGIgmfxkq27d.jpg,500,331,354,35,460,71,5
167830896,500_F_167830896_SwXPetMd3hx9hc32kADoUeBLdDiBcCVv.jpg,500,334,392,34,461,60,1
183702809,500_F_183702809_2HlIS3WceKv7MlVhTYpGyN4bM150rizj.jpg,500,282,37,39,156,62,3
51439721,500_F_51439721_9w0qEZtJPGLDrE5oz2Ls5NablVZ8g91f.jpg,500,334,326,13,483,65,10
197618753,500_F_197618753_X79r0EH3qY4ba0JTexQQmYV5n2lmJSBg.jpg,500,334,378,24,473,47,2
225466503,500_F_225466503_PAY0Qgl96HvqiDQDg6tVlNGAlpKZJv8Y.jpg,500,334,53,44,115,65,1
162422177,500_F_162422177_4xs8hDDcC1UWvkWJJgWGfxFM90AGvmoq.jpg,500,260,293,167,479,235,36
185986608,500_F_185986608_AAzk1zo0iJeMtgLuu6fltefjQciozpkz.jpg,500,334,42,35,101,56,1
10986282,500_F_10986282_f3QXSDF8OeUlqpwvpIl2PgsEhSVMtcqP.jpg,334,500,28,29,93,55,1
168651003,500_F_168651003_OE5dFAYTesRWU3zVdPycyG8M6I9u0YPE.jpg,334,500,223,10,320,122,10
83699088,500_F_83699088_uwmL0pOcitHASxDRAZmGvgKeE3dzfPIQ.jpg,500,334,14,294,152,319,3
224846414,500_F_224846414_dqguE35I0rMKbehkPS2MxeNdIO8tG48j.jpg,500,334,29,280,163,308,3
223423374,500_F_223423374_rZbUpPxMmfnxVmlyAIJrCMT07O1v9jeq.jpg,500,332,38,36,118,60,1
63826746,500_F_63826746_1mYsadPSr93bIHCkh2n5IDrIMhNgUcbL.jpg,334,500,19,18,311,53,10
85374497,500_F_85374497_t4wI2q802eNs1bL46ItDE5ARDIeuozUX.jpg,500,334,42,33,167,55,3
137786224,500_F_137786224_Sl7utenQka9VOrnMqkf3grDHZwIeWUlo.jpg,400,500,257,37,356,62,2
204461850,500_F_204461850_CvvR7v9fpZ6Md2Lgiwf793uQq22lAPRD.jpg,334,500,120,9,322,68,36
76976085,500_F_76976085_SOHt8iKUPgM7oKwKxjbXuJuckEBqbNbt.jpg,362,500,92,445,237,473,3
184423597,500_F_184423597_ehxwANFVpJGZNB6uYIjDXVixrNgFE8Ni.jpg,500,334,302,38,454,89,10
