cid,filename,width,height,xmin,ymin,xmax,ymax,num_tokens
122240045,500_F_122240045_e7QHZ8T7WLpsRWP3Ibx6quxaUKXQzs4T.jpg,500,392,29,29,90,50,token_1
209829899,500_F_209829899_lq6d3xclAVkA7XOu3GQKGvxgjqDBdjGF.jpg,500,375,14,14,90,34,token_2
86125167,500_F_86125167_zBSLCTXKbnPenEmP2C7vzyZtwPGkZaYO.jpg,500,334,367,260,481,303,token_5
38550534,500_F_38550534_8VArIDHCnuh8E8je08XTIRahTWeOOuYN.jpg,335,500,20,9,312,43,token_36
123720297,500_F_123720297_dxh673J3iAZVecM0HPbVEMKBfY4BXAN0.jpg,334,500,14,16,141,63,token_10
2754791,500_F_2754791_WgYr12CMnx7HQEfCMeJGYrfKcQD1K7.jpg,334,500,15,11,221,37,token_5
184598300,500_F_184598300_T3DTjPD4RYTtQukmyz3QZzkSyjEyYBas.jpg,350,500,235,31,315,57,token_1
46077528,500_F_46077528_BetvzTOLuSViERZ7l0fdVLnv9F2SjoMl.jpg,500,317,25,25,208,46,token_5
35076306,500_F_35076306_ei6yRQkvCxufbM8q4k88miV9GTIJvVbP.jpg,334,500,27,22,101,48,token_1
122268018,500_F_122268018_6kewyOcI4sbAR1cSEDRh09c8SrcbZSJW.jpg,500,334,393,30,465,52,token_1
11479316,500_F_11479316_NbnvorxXYA0avgmXDqBAFcEuhwEPs936.jpg,500,333,401,28,463,51,token_1
216306717,500_F_216306717_Nkoxr9WQ49yENykmtVQIdPj5NH3yYaLl.jpg,334,500,156,21,311,51,token_5
170774715,500_F_170774715_TIJRlJ3iWaOJqlDzQxoXKTLFnlncBnmV.jpg,500,334,340,32,465,58,token_3
167598017,500_F_167598017_UwW3yNik56zAD8DMFgdTI2QE4BLndhRy.jpg,334,500,26,30,156,74,token_5
13261328,500_F_13261328_WLslxXMcel1Q9I6fPqVn1nrHIFtQMqji.jpg,346,500,41,47,118,75,token_1
165910366,500_F_165910366_VMWFXH9h36LlgDyKHMa2VLh1DxNk2omN.jpg,500,334,332,40,446,76,token_5
174085520,500_F_174085520_CdkRAIqY9AHXvq0a0rLJjw97TFWYzgH2.jpg,500,332,231,31,468,78,token_10
93032979,500_F_93032979_Qmhg04clXvUTqyPFkLUqV3KXkfK6W9tm.jpg,500,236,350,15,481,54,token_5
500_F_11767798_VaqGKqqrKcc6cTgJwxVmdPiF5y0ghSs3,500_F_11767798_VaqGKqqrKcc6cTgJwxVmdPiF5y0ghSs3.jpg,500,334,23,22,95,49,token_1
177685293,500_F_177685293_KtIt0K3H6uvmlxpqldqeeKsqBwwjTvOd.jpg,500,500,289,35,462,71,token_3
36994161,500_F_36994161_IgfH3eNEUHRtP60TSAUgvuiPShbKSYba.jpg,334,500,155,30,300,61,token_3
48613756,500_F_48613756_1fhUHaWUCYiGNcUVrgmqFq1258NNYPqP.jpg,500,334,20,261,197,312,token_10
133681164,500_F_133681164_QHNC6anSq2q7Zl72QQruOnUsXfxo7w8O.jpg,500,334,38,33,160,59,token_3
45221224,500_F_45221224_3pjkKmnvEGjPvP8oDGn6uzBRpGvHIjwC.jpg,500,375,377,49,446,71,token_1
83144417,500_F_83144417_xOt9GA3hZ4UJFc4L17URiGIgmfxkq27d.jpg,500,331,354,35,460,71,token_5
167830896,500_F_167830896_SwXPetMd3hx9hc32kADoUeBLdDiBcCVv.jpg,500,334,392,34,461,60,token_1
51439721,500_F_51439721_9w0qEZtJPGLDrE5oz2Ls5NablVZ8g91f.jpg,500,334,326,13,483,65,token_10
197618753,500_F_197618753_X79r0EH3qY4ba0JTexQQmYV5n2lmJSBg.jpg,500,334,378,24,473,47,token_2
225466503,500_F_225466503_PAY0Qgl96HvqiDQDg6tVlNGAlpKZJv8Y.jpg,500,334,53,44,115,65,token_1
162422177,500_F_162422177_4xs8hDDcC1UWvkWJJgWGfxFM90AGvmoq.jpg,500,260,293,167,479,235,token_36
